,State,year,quarter,January 1,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
428,California,2020,Jan-Mar,22.4,6.0,5.0,5.3,5.3,4.2,
429,Colorado,2020,Jan-Mar,20.8,-,(Z),(Z),10.8,2.4,
430,Connecticut,2020,Jan-Mar,11.2,2.9,(Z),-,2.8,3.0,
431,Florida,2020,Jan-Mar,28.0,14.2,5.5,5.3,8.7,10.9,
432,Georgia,2020,Jan-Mar,50.9,3.4,(Z),(Z),(Z),7.5,
433,Hawaii,2020,Jan-Mar,75.3,60.8,(Z),-,(Z),(Z),
434,Idaho,2020,Jan-Mar,10.4,0.8,(Z),2.8,2.1,1.9,
436,Illinois,2020,Jan-Mar,17.2,8.9,(Z),-,7.3,10.0,
437,Indiana,2020,Jan-Mar,8.2,0.5,(Z),2.9,1.9,6.2,
438,Iowa,2020,Jan-Mar,22.3,1.9,-,(Z),5.7,5.5,
439,Kansas,2020,Jan-Mar,13.3,8.1,7.8,7.8,3.1,11.3,
440,Kentucky,2020,Jan-Mar,17.4,2.6,2.0,(Z),7.6,6.5,
441,Louisiana,2020,Jan-Mar,26.5,7.0,0.7,1.2,1.4,0.6,
442,Maine,2020,Jan-Mar,19.6,1.2,0.7,-,2.2,3.0,
443,Maryland,2020,Jan-Mar,19.9,1.5,(Z),-,8.5,2.4,
444,Massachusetts,2020,Jan-Mar,13.9,0.5,1.8,(Z),4.5,2.2,
445,Michigan,2020,Jan-Mar,8.1,0.5,(Z),(Z),(Z),0.7,
447,Minnesota,2020,Jan-Mar,3.5,-,-,(Z),4.3,(Z),
448,Mississippi,2020,Jan-Mar,58.6,50.9,(Z),1.8,14.5,3.6,
449,Missouri,2020,Jan-Mar,8.4,3.4,0.9,1.6,2.1,3.4,
450,Montana,2020,Jan-Mar,4.0,-,-,-,0.5,(Z),
451,Nebraska,2020,Jan-Mar,2.2,(Z),(Z),-,(Z),0.8,
452,New Jersey,2020,Jan-Mar,9.4,2.9,0.5,(Z),3.2,2.3,
453,New Mexico,2020,Jan-Mar,2.1,-,-,-,0.7,(Z),
454,New York,2020,Jan-Mar,6.6,2.9,-,-,1.7,7.7,
455,North Carolina,2020,Jan-Mar,35.7,7.1,4.8,0.6,1.4,5.1,
456,North Dakota,2020,Jan-Mar,0.6,-,-,-,3.1,-,
458,Ohio,2020,Jan-Mar,17.6,3.6,1.1,(Z),3.0,13.4,
459,Oklahoma,2020,Jan-Mar,11.4,0.6,(Z),0.5,(Z),(Z),
460,Oregon,2020,Jan-Mar,24.4,10.4,10.8,14.5,1.3,(Z),
461,Pennsylvania,2020,Jan-Mar,15.5,3.9,2.8,1.8,2.7,3.2,
462,South Carolina,2020,Jan-Mar,15.5,11.5,9.6,(Z),6.4,5.4,
463,South Dakota,2020,Jan-Mar,14.7,(Z),-,2.1,(Z),(Z),
464,Tennessee,2020,Jan-Mar,18.9,17.3,1.0,-,4.1,7.8,
465,Texas,2020,Jan-Mar,12.2,6.8,1.3,3.4,5.2,4.6,
466,Utah,2020,Jan-Mar,38.9,17.2,17.1,2.3,15.7,22.4,
467,Vermont,2020,Jan-Mar,9.1,0.8,0.6,0.9,2.0,3.1,
469,Virginia,2020,Jan-Mar,17.5,10.6,(Z),(Z),3.8,3.5,
470,Washington,2020,Jan-Mar,1.7,(Z),(Z),0.5,(Z),(Z),
471,West Virginia,2020,Jan-Mar,17.3,7.0,1.3,0.6,2.6,(Z),
472,Wisconsin,2020,Jan-Mar,9.0,1.9,(Z),(Z),2.7,3.1,
473,Wyoming,2020,Jan-Mar,(Z),(Z),0.1,-,0.8,1.7,
475,Other States 4/,2020,Jan-Mar,5.8,-,(Z),-,0.8,(Z),
477,United States,2020,Jan-Mar,25.5,8.0,4.4,5.0,5.6,5.4,
